,Population
Ardebil,1270420
Bushehr,1163400
Chaharmahal & Bakhtiyari ,947763
East Azarbayejan,3909652
Esfahan,5120850
Fars,4851274
Gilan,2530696
Golestan,1868819
Hamedan,1738234
Hormozgan,1776415
Ilam,580158
Kerman,3164718
KermanShah,1952434
Razavi Khorasan,6434501
Khuzestan,4710509
Kohgiluyeh & Boyerahmad ,713052
Kordestan,1603011
Lorestan,1760649
Markazi,1429475
Mazandaran,3283582
North Khorasan,863092
Qazvin,1273761
Qom,1292283
Semnan,702360
Sistan and Baluchestan,2775014
South Khorasan,768898
Tehran,13267637
West Azarbaijan.,3265219
Yazd,1138533
Zanjan,1057461
